drugName,condition,review,rating,usefulCount,sentiment
Januvia,Diabetes Type 2,frequent urination high blood sugar thirst insulin resistance glucose management works somewhat decent average improvement moderate results,7,107,neutral
Azithromycin,Infection,infection treatment antibiotic course antimicrobial very effective notable improvement highly satisfied,9,498,positive
Naproxen,Pain,pain relief inflammation painkiller analgesic treatment amazing results works perfectly symptoms gone life changing,10,499,positive
Bupropion,Depression,depressive episode treatment medication mood stabilizer terrible side effects worsened no improvement not recommended,2,400,negative
Pantoprazole,GERD,acid indigestion heartburn relief antacid medication okay moderate average side effects tolerable mixed results,6,195,neutral
Jardiance,Diabetes Type 2,blood glucose control diabetes medication hyperglycemia fatigue weight management works somewhat decent average improvement moderate results,5,156,neutral
Buspirone,Anxiety,anxiety panic attack worry restless nervous terrible side effects worsened no improvement not recommended,2,168,negative
Albuterol,Asthma,respiratory bronchodilator breathing difficulty asthma attack fantastic medication excellent results quick relief,10,328,positive
Eszopiclone,Insomnia,insomnia sleep disturbance treatment sleep aid fantastic medication excellent results quick relief,9,480,positive
Metformin,Diabetes Type 2,blood glucose control diabetes medication hyperglycemia fatigue weight management amazing results works perfectly symptoms gone life changing,10,297,positive
Albuterol,Asthma,respiratory bronchodilator breathing difficulty asthma attack terrible side effects worsened no improvement not recommended,4,373,negative
Amitriptyline,Migraine,pulsating head pain migraine medication sound sensitivity great effective works well improved better excellent highly recommend,8,197,positive
Naproxen,Pain,arthritis pain swelling relief pain management works somewhat decent average improvement moderate results,6,0,neutral
Doxepin,Insomnia,insomnia sleep disturbance treatment sleep aid amazing results works perfectly symptoms gone life changing,9,186,positive
Omeprazole,GERD,stomach acid regurgitation throat burn esophagus proton pump fantastic medication excellent results quick relief,10,339,positive
Losartan,Hypertension,cardiovascular pressure heart rate blood pressure medication very effective notable improvement highly satisfied,8,167,positive
Ranitidine,GERD,heartburn acid reflux stomach burning gastroesophageal very effective notable improvement highly satisfied,8,340,positive
Pantoprazole,GERD,stomach acid regurgitation throat burn esophagus proton pump very effective notable improvement highly satisfied,8,280,positive
Januvia,Diabetes Type 2,blood glucose control diabetes medication hyperglycemia fatigue weight management acceptable results some side effects overall manageable,6,310,neutral
Ciprofloxacin,Infection,infection treatment antibiotic course antimicrobial amazing results works perfectly symptoms gone life changing,8,261,positive
Armour Thyroid,Hypothyroidism,thyroid fatigue weight gain cold sensitivity underactive works somewhat decent average improvement moderate results,5,263,neutral
Cephalexin,Infection,bacterial infection antibiotic fever chills body ache acceptable results some side effects overall manageable,7,158,neutral
Buspirone,Anxiety,anxiety panic attack worry restless nervous did not work side effects severe bad ineffective poor,4,243,negative
Ibuprofen,Pain,arthritis pain swelling relief pain management amazing results works perfectly symptoms gone life changing,8,367,positive
Pravastatin,High Cholesterol,high cholesterol LDL statin cardiovascular lipid amazing results works perfectly symptoms gone life changing,8,335,positive
Atorvastatin,High Cholesterol,high cholesterol LDL statin cardiovascular lipid very effective notable improvement highly satisfied,10,112,positive
Venlafaxine,Depression,depressive episode treatment medication mood stabilizer amazing results works perfectly symptoms gone life changing,8,469,positive
Metoprolol,Hypertension,systolic diastolic pressure management hypertension bp reduction severe reaction stopped using poor results disappointing,4,271,negative
Doxepin,Insomnia,sleep disorder medication sedative sleep quality acceptable results some side effects overall manageable,6,417,neutral
Ezetimibe,High Cholesterol,lipid lowering medication heart risk cholesterol management works somewhat decent average improvement moderate results,7,459,neutral
Bupropion,Depression,sadness hopeless mood antidepressant serotonin fantastic medication excellent results quick relief,8,392,positive
Eszopiclone,Insomnia,sleep disorder medication sedative sleep quality very effective notable improvement highly satisfied,8,39,positive
Simvastatin,High Cholesterol,cholesterol reduction hypercholesterolemia HDL triglycerides works somewhat decent average improvement moderate results,6,457,neutral
Zolpidem,Insomnia,sleep insomnia waking night trouble falling asleep terrible side effects worsened no improvement not recommended,4,355,negative
Fluoxetine,Depression,persistent low mood anxiety depression mental health terrible side effects worsened no improvement not recommended,3,277,negative
Liothyronine,Hypothyroidism,thyroid hormone replacement metabolism slow levothyroxine TSH terrible side effects worsened no improvement not recommended,3,463,negative
Ibuprofen,Pain,arthritis pain swelling relief pain management very effective notable improvement highly satisfied,10,244,positive
Januvia,Diabetes Type 2,blood glucose control diabetes medication hyperglycemia fatigue weight management works somewhat decent average improvement moderate results,6,275,neutral
Ezetimibe,High Cholesterol,high cholesterol LDL statin cardiovascular lipid very effective notable improvement highly satisfied,9,112,positive
Budesonide,Asthma,respiratory bronchodilator breathing difficulty asthma attack fantastic medication excellent results quick relief,8,342,positive
Doxycycline,Infection,infection treatment antibiotic course antimicrobial amazing results works perfectly symptoms gone life changing,9,318,positive
Zolpidem,Insomnia,insomnia sleep disturbance treatment sleep aid great effective works well improved better excellent highly recommend,10,42,positive
Doxycycline,Infection,infection treatment antibiotic course antimicrobial did not work side effects severe bad ineffective poor,4,25,negative
Budesonide,Asthma,respiratory bronchodilator breathing difficulty asthma attack works somewhat decent average improvement moderate results,6,172,neutral
Ranitidine,GERD,stomach acid regurgitation throat burn esophagus proton pump fantastic medication excellent results quick relief,9,427,positive
Metoprolol,Hypertension,cardiovascular pressure heart rate blood pressure medication did not work side effects severe bad ineffective poor,1,487,negative
Topiramate,Migraine,pulsating head pain migraine medication sound sensitivity great effective works well improved better excellent highly recommend,9,386,positive
Glipizide,Diabetes Type 2,frequent urination high blood sugar thirst insulin resistance glucose management acceptable results some side effects overall manageable,5,78,neutral
Buspirone,Anxiety,anxiety panic attack worry restless nervous amazing results works perfectly symptoms gone life changing,8,238,positive
Simvastatin,High Cholesterol,high cholesterol LDL statin cardiovascular lipid great effective works well improved better excellent highly recommend,9,398,positive
Escitalopram,Depression,sadness hopeless mood antidepressant serotonin terrible side effects worsened no improvement not recommended,4,294,negative
Doxycycline,Infection,fever body ache infection clearing antibiotic okay moderate average side effects tolerable mixed results,7,38,neutral
Naproxen,Pain,chronic pain NSAID anti-inflammatory joint muscle pain severe reaction stopped using poor results disappointing,4,307,negative
Hydrochlorothiazide,Hypertension,systolic diastolic pressure management hypertension bp reduction very effective notable improvement highly satisfied,9,338,positive
Sumatriptan,Migraine,migraine attack pain relief cluster headache great effective works well improved better excellent highly recommend,8,434,positive
Lansoprazole,GERD,stomach acid regurgitation throat burn esophagus proton pump severe reaction stopped using poor results disappointing,4,456,negative
Armour Thyroid,Hypothyroidism,thyroid fatigue weight gain cold sensitivity underactive acceptable results some side effects overall manageable,5,267,neutral
Ciprofloxacin,Infection,fever body ache infection clearing antibiotic very effective notable improvement highly satisfied,8,238,positive
Esomeprazole,GERD,heartburn acid reflux stomach burning gastroesophageal okay moderate average side effects tolerable mixed results,6,142,neutral
Levothyroxine,Hypothyroidism,hypothyroid medication energy cold intolerance thyroid function very effective notable improvement highly satisfied,9,172,positive
Jardiance,Diabetes Type 2,frequent urination high blood sugar thirst insulin resistance glucose management very effective notable improvement highly satisfied,10,108,positive
Propranolol,Migraine,pulsating head pain migraine medication sound sensitivity acceptable results some side effects overall manageable,7,450,neutral
Salmeterol,Asthma,wheezing shortness breath inhaler bronchospasm airway did not work side effects severe bad ineffective poor,1,123,negative
Pravastatin,High Cholesterol,high cholesterol LDL statin cardiovascular lipid very effective notable improvement highly satisfied,8,330,positive
Pravastatin,High Cholesterol,high cholesterol LDL statin cardiovascular lipid okay moderate average side effects tolerable mixed results,7,150,neutral
Lorazepam,Anxiety,anxious overthinking stress generalized anxiety disorder fantastic medication excellent results quick relief,9,242,positive
Doxepin,Insomnia,insomnia sleep disturbance treatment sleep aid acceptable results some side effects overall manageable,7,169,neutral
Amitriptyline,Migraine,migraine attack pain relief cluster headache okay moderate average side effects tolerable mixed results,6,61,neutral
Rosuvastatin,High Cholesterol,lipid lowering medication heart risk cholesterol management acceptable results some side effects overall manageable,6,486,neutral
Rosuvastatin,High Cholesterol,lipid lowering medication heart risk cholesterol management works somewhat decent average improvement moderate results,5,141,neutral
Ezetimibe,High Cholesterol,lipid lowering medication heart risk cholesterol management fantastic medication excellent results quick relief,10,51,positive
Clonazepam,Anxiety,anxiety panic attack worry restless nervous works somewhat decent average improvement moderate results,5,7,neutral
Ezetimibe,High Cholesterol,high cholesterol LDL statin cardiovascular lipid did not work side effects severe bad ineffective poor,4,283,negative
Fluticasone,Asthma,respiratory bronchodilator breathing difficulty asthma attack great effective works well improved better excellent highly recommend,8,446,positive
Ozempic,Diabetes Type 2,blood glucose control diabetes medication hyperglycemia fatigue weight management works somewhat decent average improvement moderate results,6,174,neutral
Sertraline,Depression,persistent low mood anxiety depression mental health okay moderate average side effects tolerable mixed results,6,420,neutral
Metoprolol,Hypertension,cardiovascular pressure heart rate blood pressure medication great effective works well improved better excellent highly recommend,8,77,positive
Venlafaxine,Depression,sadness hopeless mood antidepressant serotonin amazing results works perfectly symptoms gone life changing,10,60,positive
Eszopiclone,Insomnia,insomnia sleep disturbance treatment sleep aid amazing results works perfectly symptoms gone life changing,8,397,positive
Eszopiclone,Insomnia,sleep disorder medication sedative sleep quality fantastic medication excellent results quick relief,8,440,positive
Tramadol,Pain,arthritis pain swelling relief pain management okay moderate average side effects tolerable mixed results,6,312,neutral
Atorvastatin,High Cholesterol,high cholesterol LDL statin cardiovascular lipid amazing results works perfectly symptoms gone life changing,10,135,positive
Amoxicillin,Infection,bacterial infection antibiotic fever chills body ache acceptable results some side effects overall manageable,5,38,neutral
Sertraline,Depression,depressive episode treatment medication mood stabilizer acceptable results some side effects overall manageable,7,240,neutral
Albuterol,Asthma,breathing problem airway inflammation asthma medication works somewhat decent average improvement moderate results,6,359,neutral
Levothyroxine,Hypothyroidism,thyroid hormone replacement metabolism slow levothyroxine TSH amazing results works perfectly symptoms gone life changing,9,217,positive
Hydrochlorothiazide,Hypertension,high blood pressure headache dizziness antihypertensive works somewhat decent average improvement moderate results,5,423,neutral
Sertraline,Depression,persistent low mood anxiety depression mental health severe reaction stopped using poor results disappointing,3,383,negative
Acetaminophen,Pain,chronic pain NSAID anti-inflammatory joint muscle pain acceptable results some side effects overall manageable,7,155,neutral
Pravastatin,High Cholesterol,lipid lowering medication heart risk cholesterol management very effective notable improvement highly satisfied,10,224,positive
Hydrochlorothiazide,Hypertension,systolic diastolic pressure management hypertension bp reduction severe reaction stopped using poor results disappointing,2,165,negative
Acetaminophen,Pain,pain relief inflammation painkiller analgesic treatment severe reaction stopped using poor results disappointing,2,428,negative
Celecoxib,Pain,arthritis pain swelling relief pain management fantastic medication excellent results quick relief,10,295,positive
Glipizide,Diabetes Type 2,sugar levels stabilized diabetes treatment glycated hemoglobin HbA1c control very effective notable improvement highly satisfied,8,469,positive
Fluticasone,Asthma,respiratory bronchodilator breathing difficulty asthma attack very effective notable improvement highly satisfied,10,496,positive
Metoprolol,Hypertension,systolic diastolic pressure management hypertension bp reduction works somewhat decent average improvement moderate results,7,343,neutral
Amlodipine,Hypertension,cardiovascular pressure heart rate blood pressure medication works somewhat decent average improvement moderate results,6,147,neutral
Doxycycline,Infection,fever body ache infection clearing antibiotic great effective works well improved better excellent highly recommend,9,232,positive
Losartan,Hypertension,high blood pressure headache dizziness antihypertensive works somewhat decent average improvement moderate results,6,442,neutral
Zolpidem,Insomnia,insomnia sleep disturbance treatment sleep aid very effective notable improvement highly satisfied,9,211,positive
Glipizide,Diabetes Type 2,sugar levels stabilized diabetes treatment glycated hemoglobin HbA1c control very effective notable improvement highly satisfied,8,320,positive
Levothyroxine,Hypothyroidism,hypothyroid medication energy cold intolerance thyroid function okay moderate average side effects tolerable mixed results,5,474,neutral
Budesonide,Asthma,respiratory bronchodilator breathing difficulty asthma attack great effective works well improved better excellent highly recommend,10,14,positive
Cephalexin,Infection,fever body ache infection clearing antibiotic amazing results works perfectly symptoms gone life changing,9,159,positive
Zolpidem,Insomnia,sleep insomnia waking night trouble falling asleep amazing results works perfectly symptoms gone life changing,8,430,positive
Metoprolol,Hypertension,cardiovascular pressure heart rate blood pressure medication amazing results works perfectly symptoms gone life changing,10,255,positive
Simvastatin,High Cholesterol,cholesterol reduction hypercholesterolemia HDL triglycerides very effective notable improvement highly satisfied,8,427,positive
Liothyronine,Hypothyroidism,hypothyroid medication energy cold intolerance thyroid function okay moderate average side effects tolerable mixed results,6,196,neutral
Escitalopram,Anxiety,anxiety panic attack worry restless nervous great effective works well improved better excellent highly recommend,8,141,positive
Ranitidine,GERD,acid indigestion heartburn relief antacid medication fantastic medication excellent results quick relief,10,420,positive
Januvia,Diabetes Type 2,sugar levels stabilized diabetes treatment glycated hemoglobin HbA1c control very effective notable improvement highly satisfied,9,443,positive
Bupropion,Depression,persistent low mood anxiety depression mental health fantastic medication excellent results quick relief,8,282,positive
Eszopiclone,Insomnia,sleep disorder medication sedative sleep quality amazing results works perfectly symptoms gone life changing,8,357,positive
Escitalopram,Anxiety,anxious overthinking stress generalized anxiety disorder okay moderate average side effects tolerable mixed results,7,162,neutral
Pravastatin,High Cholesterol,cholesterol reduction hypercholesterolemia HDL triglycerides very effective notable improvement highly satisfied,9,339,positive
Azithromycin,Infection,bacterial infection antibiotic fever chills body ache amazing results works perfectly symptoms gone life changing,8,257,positive
Acetaminophen,Pain,chronic pain NSAID anti-inflammatory joint muscle pain great effective works well improved better excellent highly recommend,10,269,positive
Levothyroxine,Hypothyroidism,thyroid hormone replacement metabolism slow levothyroxine TSH amazing results works perfectly symptoms gone life changing,9,38,positive
Liothyronine,Hypothyroidism,hypothyroid medication energy cold intolerance thyroid function works somewhat decent average improvement moderate results,7,332,neutral
Losartan,Hypertension,cardiovascular pressure heart rate blood pressure medication very effective notable improvement highly satisfied,10,488,positive
Amitriptyline,Migraine,severe headache throbbing migraine aura nausea light sensitivity great effective works well improved better excellent highly recommend,10,120,positive
Ciprofloxacin,Infection,fever body ache infection clearing antibiotic great effective works well improved better excellent highly recommend,10,222,positive
Lisinopril,Hypertension,cardiovascular pressure heart rate blood pressure medication works somewhat decent average improvement moderate results,7,462,neutral
Metformin,Diabetes Type 2,frequent urination high blood sugar thirst insulin resistance glucose management works somewhat decent average improvement moderate results,6,183,neutral
Amitriptyline,Migraine,pulsating head pain migraine medication sound sensitivity terrible side effects worsened no improvement not recommended,4,289,negative
Azithromycin,Infection,bacterial infection antibiotic fever chills body ache acceptable results some side effects overall manageable,5,445,neutral
Esomeprazole,GERD,stomach acid regurgitation throat burn esophagus proton pump amazing results works perfectly symptoms gone life changing,9,118,positive
Armour Thyroid,Hypothyroidism,thyroid hormone replacement metabolism slow levothyroxine TSH acceptable results some side effects overall manageable,6,4,neutral
Liothyronine,Hypothyroidism,thyroid fatigue weight gain cold sensitivity underactive great effective works well improved better excellent highly recommend,9,226,positive
Rizatriptan,Migraine,migraine attack pain relief cluster headache acceptable results some side effects overall manageable,6,128,neutral
Liothyronine,Hypothyroidism,thyroid hormone replacement metabolism slow levothyroxine TSH works somewhat decent average improvement moderate results,5,54,neutral
Lorazepam,Anxiety,nervousness tension panic medication anxiety relief fantastic medication excellent results quick relief,8,358,positive
Albuterol,Asthma,breathing problem airway inflammation asthma medication very effective notable improvement highly satisfied,10,140,positive
Ozempic,Diabetes Type 2,sugar levels stabilized diabetes treatment glycated hemoglobin HbA1c control great effective works well improved better excellent highly recommend,10,466,positive
Tramadol,Pain,chronic pain NSAID anti-inflammatory joint muscle pain amazing results works perfectly symptoms gone life changing,9,310,positive
Topiramate,Migraine,pulsating head pain migraine medication sound sensitivity fantastic medication excellent results quick relief,8,347,positive
Rosuvastatin,High Cholesterol,lipid lowering medication heart risk cholesterol management great effective works well improved better excellent highly recommend,8,158,positive
Levothyroxine,Hypothyroidism,hypothyroid medication energy cold intolerance thyroid function amazing results works perfectly symptoms gone life changing,8,46,positive
Montelukast,Asthma,wheezing shortness breath inhaler bronchospasm airway amazing results works perfectly symptoms gone life changing,9,67,positive
Melatonin,Insomnia,sleep disorder medication sedative sleep quality amazing results works perfectly symptoms gone life changing,8,131,positive
Liothyronine,Hypothyroidism,thyroid hormone replacement metabolism slow levothyroxine TSH great effective works well improved better excellent highly recommend,9,239,positive
Amlodipine,Hypertension,high blood pressure headache dizziness antihypertensive very effective notable improvement highly satisfied,9,495,positive
Melatonin,Insomnia,sleep disorder medication sedative sleep quality did not work side effects severe bad ineffective poor,4,135,negative
Zolpidem,Insomnia,insomnia sleep disturbance treatment sleep aid fantastic medication excellent results quick relief,8,299,positive
Ranitidine,GERD,heartburn acid reflux stomach burning gastroesophageal terrible side effects worsened no improvement not recommended,4,12,negative
Celecoxib,Pain,arthritis pain swelling relief pain management okay moderate average side effects tolerable mixed results,6,331,neutral
Metoprolol,Hypertension,systolic diastolic pressure management hypertension bp reduction very effective notable improvement highly satisfied,10,59,positive
Sertraline,Depression,persistent low mood anxiety depression mental health very effective notable improvement highly satisfied,10,59,positive
Amlodipine,Hypertension,high blood pressure headache dizziness antihypertensive very effective notable improvement highly satisfied,10,232,positive
Rizatriptan,Migraine,pulsating head pain migraine medication sound sensitivity acceptable results some side effects overall manageable,7,79,neutral
Omeprazole,GERD,acid indigestion heartburn relief antacid medication very effective notable improvement highly satisfied,9,480,positive
Albuterol,Asthma,wheezing shortness breath inhaler bronchospasm airway very effective notable improvement highly satisfied,9,227,positive
Clonazepam,Anxiety,nervousness tension panic medication anxiety relief terrible side effects worsened no improvement not recommended,4,278,negative
Ciprofloxacin,Infection,infection treatment antibiotic course antimicrobial did not work side effects severe bad ineffective poor,3,495,negative
Metoprolol,Hypertension,high blood pressure headache dizziness antihypertensive severe reaction stopped using poor results disappointing,4,327,negative
Ibuprofen,Pain,chronic pain NSAID anti-inflammatory joint muscle pain did not work side effects severe bad ineffective poor,3,64,negative
Naproxen,Pain,arthritis pain swelling relief pain management did not work side effects severe bad ineffective poor,3,300,negative
Buspirone,Anxiety,anxiety panic attack worry restless nervous acceptable results some side effects overall manageable,6,1,neutral
Fluticasone,Asthma,breathing problem airway inflammation asthma medication fantastic medication excellent results quick relief,10,408,positive
Sertraline,Depression,sadness hopeless mood antidepressant serotonin amazing results works perfectly symptoms gone life changing,9,7,positive
Topiramate,Migraine,severe headache throbbing migraine aura nausea light sensitivity amazing results works perfectly symptoms gone life changing,8,135,positive
Glipizide,Diabetes Type 2,sugar levels stabilized diabetes treatment glycated hemoglobin HbA1c control great effective works well improved better excellent highly recommend,9,381,positive
Metoprolol,Hypertension,systolic diastolic pressure management hypertension bp reduction acceptable results some side effects overall manageable,7,303,neutral
Metoprolol,Hypertension,cardiovascular pressure heart rate blood pressure medication great effective works well improved better excellent highly recommend,8,372,positive
Cephalexin,Infection,fever body ache infection clearing antibiotic okay moderate average side effects tolerable mixed results,6,31,neutral
Liothyronine,Hypothyroidism,thyroid fatigue weight gain cold sensitivity underactive works somewhat decent average improvement moderate results,7,364,neutral
Levothyroxine,Hypothyroidism,thyroid hormone replacement metabolism slow levothyroxine TSH amazing results works perfectly symptoms gone life changing,10,33,positive
Escitalopram,Depression,depressive episode treatment medication mood stabilizer fantastic medication excellent results quick relief,8,195,positive
Celecoxib,Pain,arthritis pain swelling relief pain management acceptable results some side effects overall manageable,6,220,neutral
Lisinopril,Hypertension,cardiovascular pressure heart rate blood pressure medication amazing results works perfectly symptoms gone life changing,10,220,positive
Levothyroxine,Hypothyroidism,thyroid hormone replacement metabolism slow levothyroxine TSH works somewhat decent average improvement moderate results,7,212,neutral
Atorvastatin,High Cholesterol,cholesterol reduction hypercholesterolemia HDL triglycerides acceptable results some side effects overall manageable,6,130,neutral
Topiramate,Migraine,migraine attack pain relief cluster headache great effective works well improved better excellent highly recommend,9,46,positive
Lisinopril,Hypertension,cardiovascular pressure heart rate blood pressure medication acceptable results some side effects overall manageable,7,190,neutral
Venlafaxine,Depression,depressive episode treatment medication mood stabilizer severe reaction stopped using poor results disappointing,3,168,negative
Amoxicillin,Infection,fever body ache infection clearing antibiotic works somewhat decent average improvement moderate results,7,444,neutral
Atorvastatin,High Cholesterol,lipid lowering medication heart risk cholesterol management fantastic medication excellent results quick relief,10,180,positive
